start,end,title,employee,industry,location,description_1,description_2,description_3,tag_1,tag_2,tag_3
01.10.2014,31.01.19,B. Sc. Mathematics with Minor in Informatics,Technical University,,Munich,Final grade 1.7,Specialization in numerics and probability theory,,Java,Julia,C/C++
01.03.2019,01.10.22,Master Mathematics in Science and Engineering Minor in Medical Technology,Technical University ,,Munich,Final grade 1.4,"Exchange semester at the University of Waterloo, Canada (2021) ",Specialization in numerics and statisti,Python,Julia,Matlab
