start,end,title,subtitle,url_1,description_1,description_2,description_3,tag_1,tag_2,tag_3
2019-03-01,2019-05-01,Explicit Extrapolation Methods,Publication of my bachelor’s thesis,https://github.com/AlthausKonstantin/Extrapolation,Implementation of a time integrator in Julia based on my bachelor’s thesis.,Contribution to the scientific computing project  DifferentialEquations.jl,Basis for one of the fastest state of the art explicit extrapolation methods.,,,
2021-11-01,2022-07-01,Rare Event Estimation,Publication of my master’s thesis,https://github.com/AlthausKonstantin/rareeventestimation,Development of a state of the art rare event estimation method.,Implementation as a professional Python package.,Using containerisation to run numerical experiments on the Google Cloud.,,,
